idsedes,empresas_idempresas,nombre_sede,direccion_uno,direccion_dos,telefono_sede,celular_sede,correo_sede,coordenadas_sede,estado_sede,fecha_creacion,usuario_creacion,fecha_modificacion,usuario_modificacion
1,1,"SEDE LA LIBERTAD",NULL,vvvvvvvv,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
2,1,"SEDE HUANCAVELICA",NULL,xxxxxxx,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
3,1,"SEDE JUNIN",NULL,sssssss,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
4,1,"SEDE HUANUCO",NULL,gggggg,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
5,1,"SEDE CAJAMARCA",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
6,1,"SEDE AMAZONAS",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
7,1,"SEDE ANCASH",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
8,1,"SEDE CENTRAL",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
9,1,"SEDE APURIMAC",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10,1,"SEDE AREQUIPA",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
11,1,"SEDE AYACUCHO",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
12,1,"SEDE CUSCO",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
13,1,"SEDE LAMBAYEQUE",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
14,1,"SEDE MOQUEGUA",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
15,1,"SEDE PASCO",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
16,1,"SEDE PIURA",NULL,NULL,"(073) 403591",962701968,NULL,NULL,1,NULL,NULL,NULL,NULL
17,1,"SEDE PUNO",NULL,NULL,"(051) 369231",989317730,eventura@sierraexportadora.gob.pe,"-15.844896, -70.025333",1,NULL,NULL,NULL,NULL
